countries,Base/location,Region,Latitude,Longitude,Weapon system,Remarks
France,"Saint-Jean, south of Ile Longue",Bretagne,47.002789,1.68221,"TN75, TNO (replacing TN75)",Warhead storage site for M51 SLBMs at nearby SSBN base
Germany,Büchel AB,Rheinland-Pfalz,50.118347,7.308953,B61-3/4,US bombs for delivery by German PA-200 Tornados of the 33rd Tactical Air Force Squadron. Weapons in custody of US 702nd MUNSS
India,Chandighar Plant,Punjab,31.147129,75.341217,Various,Possible warhead production
India,Jodhpur facility,Rajasthan,27.023804,74.217934,Prithvi/Agni SSMs,Potential storage facility for Prithvi and/or Agni SSMs and/or warheads
India,Unknown Air Force storage facilitiese,Unknown,23.041173,78.891806,Bombs,For potential use by Jaguar IS at Ambala and Gorakhpur ABs and Mirage 2000H at Gwalior AB
India,Unknown Army storage facilitiesf,Unknown,23.041173,78.891806,Prithvi/Agni SSMs,"For use by 222nd and 333rd Missile Groups (Prithvi), and 334th and 335th Missile Groups (Agni)"
India,Unknown Navy facilityg,Unknown,23.041173,78.891806,"Dhanush ShLBM, K-15 SLBM",For use by 2 Sukanya patrol ships and 1 Arihant SSBN
Italy,Aviano AB,Friuli-Venezia Giulia,46.114391,13.11998,B61-3/4,For delivery by US F-16s of the 31st Fighter Wing
Italy,Ghedi AB,Lombardia,45.657581,9.9636,B61-3/4,US bombs for delivery by Italian PA-200 Tornados of the 6th Fighter Wing. Weapons in custody of US 704th MUNSS
Israel,Dimona site,?,31.46706,34.814642,Various,"Negev Nuclear Research Center. Plutonium, tritium, and warhead production"
Israel,Soreq Nuclear Research Center,?,31.46706,34.814642,Various,"Possible warhead design, fabrication, and maintenance"
Israel,Sdot Micha missile base,?,31.46706,34.814642,Jericho II SSMs,25–50 mobile MRBMs in caves. Warhead components potentially on base or at separate depot
Israel,Nevatim AB,?,31.46706,34.814642,Bombs,For potential use by F-16A/B fighter-bombers. Bomb components probably at separate depot
Israel,Tel Nof AB,?,31.46706,34.814642,Bombs,For potential use by F-16I and/or F-15I fighter-bombers. Bomb components probably at separate depot
